   1894   12.70   15.66
   1895   12.98   15.84
   1896   13.33   15.65
   1897   13.57   15.09
   1898   13.01   15.20
   1899   13.05   14.87
   1900   13.12   15.75
   1901   13.89   14.73
   1902   13.46   14.47
   1903   13.12   14.92
   1904   12.77   15.59
   1905   12.73   15.18
   1906   12.75   15.29
   1907   13.82   15.02
   1908   13.56   14.27
   1909   12.92   13.78
   1910   13.13   14.62
   1911   12.80   14.30
   1912   12.53   14.17
   1913   13.17   14.08
   1914   13.22   14.61
   1915   13.17   15.24
   1916   13.41   14.21
   1917   12.58   15.08
   1918   13.08   15.01
   1919   13.08   14.72
   1920   12.74   14.62
   1921   12.97   15.01
   1922   13.26   14.88
   1923   12.54   14.85
   1924   13.44   14.51
   1925   12.87   15.46
   1926   13.48   16.00
   1927   14.18   14.88
   1928   13.48   15.23
   1929   13.26   15.41
   1930   13.62   15.51
   1931   13.74   16.62
   1932   14.05   15.44
   1933   13.36   14.84
   1934   12.93   16.25
   1935   14.37   14.94
   1936   13.21   15.93
   1937   14.20   15.08
   1938   13.26   15.33
   1939   13.44   15.73
   1940   13.89   15.92
   1941   14.18   15.93
   1942   14.42   15.41
   1943   13.48   15.54
   1944   14.26   14.78
   1945   13.33   15.35
   1946   13.63   15.29
   1947   13.26   15.42
   1948   14.49   14.08
   1949   13.23   14.74
   1950   13.33   15.18
   1951   13.72   14.93
   1952   13.16   14.78
   1953   13.07   15.51
   1954   14.02   15.57
   1955   13.77   14.61
   1956   12.82   15.12
   1957   13.33   16.02
   1958   13.87   16.64
   1959   14.55   16.77
   1960   14.72   15.64
   1961   13.71   15.80
   1962   13.81   15.10
   1963   13.46   16.06
   1964   13.78   15.34
   1965   13.48   15.49
   1966   13.17   15.96
   1967   13.57   15.91
   1968   13.69   15.97
   1969   13.78   15.79
   1970   13.86   15.66
   1971   14.50   15.36
   1972   13.42   15.82
   1973   13.72   15.52
   1974   14.06   15.96
   1975   13.63   15.24
   1976   13.18   16.21
   1977   14.51   15.95
   1978   13.70   16.04
   1979   14.15   16.12
   1980   14.67   16.08
   1981   14.07   16.93
   1982   14.37   15.74
   1983   13.43   16.61
   1984   14.45   17.12
   1985   14.00   15.91
   1986   13.11   16.53
   1987   14.32   16.11
   1988   14.48   15.78
   1989   14.31   15.79
   1990   13.74   16.06
   1991   13.88   15.14
   1992   14.91   16.94
   1993   14.28   15.93
   1994   13.61   15.86
   1995   14.66   16.57
   1996   14.59   16.74
   1997   15.01   17.87
